iso3,region
AFG,South Asia
AGO,Sub-Saharan Africa
ALB,Europe & Central Asia
ARG,Latin America & Caribbean
ARM,Europe & Central Asia
ATG,Latin America & Caribbean
AZE,Europe & Central Asia
BDI,Sub-Saharan Africa
BEN,Sub-Saharan Africa
BFA,Sub-Saharan Africa
BGD,South Asia
BIH,Europe & Central Asia
BLR,Europe & Central Asia
BLZ,Latin America & Caribbean
BOL,Latin America & Caribbean
BRA,Latin America & Caribbean
BTN,South Asia
BWA,Sub-Saharan Africa
CAF,Sub-Saharan Africa
CHL,Latin America & Caribbean
CHN,East Asia & Pacific
CIV,Sub-Saharan Africa
CMR,Sub-Saharan Africa
COD,Sub-Saharan Africa
COG,Sub-Saharan Africa
COK,East Asia & Pacific
COL,Latin America & Caribbean
COM,Sub-Saharan Africa
CPV,Sub-Saharan Africa
CRI,Latin America & Caribbean
CUB,Latin America & Caribbean
DJI,Middle East & North Africa
DMA,Latin America & Caribbean
DOM,Latin America & Caribbean
DZA,Middle East & North Africa
ECU,Latin America & Caribbean
EGY,Middle East & North Africa
ERI,Sub-Saharan Africa
ETH,Sub-Saharan Africa
FJI,East Asia & Pacific
FSM,East Asia & Pacific
GAB,Sub-Saharan Africa
GEO,Europe & Central Asia
GHA,Sub-Saharan Africa
GIN,Sub-Saharan Africa
GMB,Sub-Saharan Africa
GNB,Sub-Saharan Africa
GNQ,Sub-Saharan Africa
GRD,Latin America & Caribbean
GTM,Latin America & Caribbean
GUY,Latin America & Caribbean
HND,Latin America & Caribbean
HTI,Latin America & Caribbean
IDN,East Asia & Pacific
IND,South Asia
IRN,Middle East & North Africa
IRQ,Middle East & North Africa
JAM,Latin America & Caribbean
JOR,Middle East & North Africa
KAZ,Europe & Central Asia
KEN,Sub-Saharan Africa
KGZ,Europe & Central Asia
KHM,East Asia & Pacific
KIR,East Asia & Pacific
LAO,East Asia & Pacific
LBN,Middle East & North Africa
LBR,Sub-Saharan Africa
LBY,Middle East & North Africa
LCA,Latin America & Caribbean
LKA,South Asia
LSO,Sub-Saharan Africa
MAR,Middle East & North Africa
MDA,Europe & Central Asia
MDG,Sub-Saharan Africa
MDV,South Asia
MEX,Latin America & Caribbean
MHL,East Asia & Pacific
MKD,Europe & Central Asia
MLI,Sub-Saharan Africa
MMR,East Asia & Pacific
MNE,Europe & Central Asia
MNG,East Asia & Pacific
MOZ,Sub-Saharan Africa
MRT,Sub-Saharan Africa
MSR,Latin America & Caribbean
MUS,Sub-Saharan Africa
MWI,Sub-Saharan Africa
MYS,East Asia & Pacific
NAM,Sub-Saharan Africa
NER,Sub-Saharan Africa
NGA,Sub-Saharan Africa
NIC,Latin America & Caribbean
NIU,East Asia & Pacific
NPL,South Asia
NRU,East Asia & Pacific
PAK,South Asia
PAN,Latin America & Caribbean
PER,Latin America & Caribbean
PHL,East Asia & Pacific
PLW,East Asia & Pacific
PNG,East Asia & Pacific
PRK,East Asia & Pacific
PRY,Latin America & Caribbean
PSE,Middle East & North Africa
RWA,Sub-Saharan Africa
SDN,Sub-Saharan Africa
SEN,Sub-Saharan Africa
SHN,Sub-Saharan Africa
SLB,East Asia & Pacific
SLE,Sub-Saharan Africa
SLV,Latin America & Caribbean
SOM,Sub-Saharan Africa
SRB,Europe & Central Asia
SSD,Sub-Saharan Africa
STP,Sub-Saharan Africa
SUR,Latin America & Caribbean
SWZ,Sub-Saharan Africa
SYC,Sub-Saharan Africa
SYR,Middle East & North Africa
TCD,Sub-Saharan Africa
TGO,Sub-Saharan Africa
THA,East Asia & Pacific
TJK,Europe & Central Asia
TKL,East Asia & Pacific
TKM,Europe & Central Asia
TLS,East Asia & Pacific
TON,East Asia & Pacific
TUN,Middle East & North Africa
TUR,Europe & Central Asia
TUV,East Asia & Pacific
TZA,Sub-Saharan Africa
UGA,Sub-Saharan Africa
UKR,Europe & Central Asia
URY,Latin America & Caribbean
UZB,Europe & Central Asia
VCT,Latin America & Caribbean
VEN,Latin America & Caribbean
VNM,East Asia & Pacific
VUT,East Asia & Pacific
WLF,East Asia & Pacific
WSM,East Asia & Pacific
XKX,Europe & Central Asia
YEM,Middle East & North Africa
ZAF,Sub-Saharan Africa
ZMB,Sub-Saharan Africa
ZWE,Sub-Saharan Africa
